SMILES,ALERTS,ALOGP,AROM,HBA,HBD,MW,PSA,ROTB,QED
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,0,4.08630,2,1,0,352.74300,32.67000,2,0.85352
OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0,3.41740,3,3,1,359.21600,63.30000,2,0.83653
CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,0,3.80720,2,1,0,319.19100,32.67000,1,0.96874
NC1=Nc2ccc([N+](=O)[O-])cc2N(c2ccccc2)C(=O)C1,2,2.65190,2,4,1,296.28600,101.83000,2,0.89220
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,3.58012,3,2,0,308.77200,43.07000,1,0.98274
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1,1.77370,2,4,0,303.29300,64.43000,2,0.99101
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(Cl)ccc1-2,1,3.77170,2,4,0,373.84000,64.43000,1,0.76463
CN1C(=O)CN=C(c2ccco2)c2cc(Cl)ccc21,0,2.74680,2,2,0,274.70700,45.81000,1,0.93391
COCC1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1C,0,4.40470,2,2,0,393.71200,24.83000,3,0.61969
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0,4.00490,2,2,0,387.88600,35.91000,6,0.66667
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,0,3.12950,2,1,1,270.71900,41.46000,1,0.91030
O=C1CCNc2ccc(Cl)cc2N1c1ccccc1,0,3.82030,2,2,1,272.73500,32.34000,1,0.90998
CC(=O)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,1,2.67870,2,2,1,278.31100,58.53000,2,0.94919
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,4,2.57640,2,4,0,326.31600,113.19000,3,0.81535
Cc1nnc2n1-c1ccc(C(F)(F)F)cc1C(c1ccccc1)=NC2,0,3.94552,3,2,0,342.32400,43.07000,1,0.90521
CN1C(=O)CN2CCc3ccccc3C2c2cc(Cl)ccc21,0,3.26390,2,2,0,312.80000,23.55000,0,0.97113
Clc1ccc2c(c1)C(c1ccccc1Cl)=NCc1cncnc1-2,0,4.80140,3,2,0,340.21300,38.14000,1,0.90386
C=CCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,2,2.36310,2,4,0,325.36800,64.43000,4,0.96473
CC(C)(C)N1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,4.32250,2,1,0,326.82700,32.67000,1,0.95055
O=C1CN=C(c2ccccc2F)c2cc(I)ccc2N1,1,3.21980,2,1,1,380.16000,41.46000,1,0.71528
CN1C(=O)CN(C(N)=O)C(c2ccccc2)c2cc(Cl)ccc21,0,2.78650,2,2,1,329.78700,66.64000,1,0.95851
CN1C(=O)CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc21,2,3.06200,2,3,0,329.74300,75.81000,2,0.94271
Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3Cl)c3cc(Cl)ccc32)cc1,0,4.95972,3,3,0,487.40800,66.81000,5,0.25065
CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,1,2.22170,2,2,1,283.30600,58.69000,1,0.96342
CC(N)C(=O)Nc1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,3,2.76490,2,5,2,347.75800,115.33000,5,0.76718
CCOC(=O)c1ncn2c1CN(C)C(=O)c1ccccc1-2,1,1.63460,2,4,0,285.30300,64.43000,2,0.96501
Cc1nnc2n1-c1sc(Cl)cc1C(c1ccccc1F)=NC2,0,3.78072,3,2,0,332.79100,43.07000,1,0.93976
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(N(C)C)cc2C1=O,1,2.47920,2,5,0,356.42600,67.67000,2,0.85246
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,0,3.78290,2,1,1,305.16400,41.46000,1,0.98857
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,0,3.28470,3,5,0,357.80100,77.05000,2,0.83227
COc1cccc(CNc2ccc3nc(-c4ccc(N)cc4)c(OC)n3n2)c1,1,3.60780,4,6,2,375.43200,86.70000,6,0.71738
CN1Cc2c(C(=O)OC3CC3)ncn2-c2ccc(Cl)cc2C1=O,1,2.43050,2,4,0,331.75900,64.43000,2,0.95338
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0,4.23352,3,2,0,343.21700,43.07000,1,0.90059
Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1Cl)=CC2,2,4.12512,3,4,0,352.78100,73.85000,2,0.85382
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(-c3cccs3)ccc1-2,1,3.36310,3,4,0,367.43000,64.43000,3,0.79427
C#Cc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2C,1,3.13510,2,1,0,308.76800,32.67000,1,0.97870
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(N3CCCC3)cc2C1=O,1,3.01340,2,5,0,382.46400,67.67000,2,0.71645
CN1C(=O)CN=C(C2=CCCCC2)c2cc([N+](=O)[O-])ccc21,2,2.86070,1,3,0,299.33000,75.81000,2,0.96963
Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccc1F)=NC2,0,3.82832,3,2,0,371.21300,43.07000,1,0.76337
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,0,3.12560,2,2,1,335.19000,52.90000,1,0.94652
ON1CC(=NCC2CC2)N=c2ccc(Cl)cc2=C1c1ccccc1,0,2.62940,2,2,1,339.82600,48.19000,3,0.92963
C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)NC)ncn1-2,1,2.56420,3,2,1,340.38600,59.28000,2,0.91856
C=CCONC1=Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1,3,4.58160,2,2,1,360.24400,45.98000,4,0.81785
CN1C(=O)CN=C(c2ccccc2)c2cc(F)ccc21,0,2.63950,2,1,0,268.29100,32.67000,1,0.88755
CN1C(=O)CN=C(c2ccccc2)c2cc(Br)ccc21,0,3.26290,2,1,0,329.19700,32.67000,1,0.94696
Cc1nnc2n1-c1sc([N+](=O)[O-])cc1C(c1ccccc1Cl)=NC2,2,3.54982,3,4,0,359.79800,86.21000,2,0.80813
CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(I)cccc1-2,2,2.23920,2,4,0,411.19900,64.43000,2,0.55677
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2C,0,4.28022,3,2,0,340.78900,43.07000,1,0.91000
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2,1,2.28800,2,4,0,319.74800,64.43000,2,0.98073
O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,0,1.97380,2,3,2,348.76100,73.13000,3,0.88616
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0,3.10130,2,2,2,321.16300,61.69000,1,0.98043
O=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,0,1.34750,2,3,1,286.71800,52.90000,1,0.97391
C=Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,1,2.27760,2,4,0,311.34100,64.43000,3,0.99086
Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,0,1.68142,2,2,0,286.31000,50.49000,1,0.97230
CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2,0,2.00092,2,2,1,268.32000,59.28000,2,0.91218
CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(OC)ccc1-2,1,2.34830,2,5,0,341.36700,73.66000,3,0.91194
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1F,0,3.68972,3,2,0,326.40000,43.07000,2,0.95836
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(-c3ccco3)ccc1-2,1,2.89460,3,5,0,351.36200,77.57000,3,0.86038
O=C1CN=C(c2ccccc2)c2cc(C(F)(F)F)ccc2N1,0,3.49490,2,1,1,304.27100,41.46000,1,0.98893
Cc1nnc2n1-c1ccccc1C(c1ccccc1)=CC2,0,3.56352,3,2,0,273.33900,30.71000,1,0.89914
Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccc1Cl)=NC2,0,4.34262,3,2,0,387.66800,43.07000,1,0.66926
CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1c(Cl)cccc1-2,1,2.99310,2,4,0,345.78600,64.43000,2,0.90369
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0,2.44790,2,2,2,286.71800,61.69000,1,0.97090
O=C1CN=C(c2ccccc2F)c2cc(Cl)c(Cl)cc2N1,0,3.92200,2,1,1,323.15400,41.46000,1,0.97007
CN1CCN(C=C2N=C3CN=C(c4ccccc4Cl)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1,3,2.93310,2,5,0,464.91300,94.65000,3,0.32308
C#Cc1ccc2c(c1)C(c1ccccc1F)=NC(C)c1c(C(=O)NC)ncn1-2,1,3.26430,3,2,1,372.40300,59.28000,2,0.76702
CCc1cccc2c1C(=O)N1CCCC1c1c(C(=O)OC(C)(C)C)ncn1-2,1,3.68070,2,4,0,367.44900,64.43000,2,0.79980
O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1,2.58270,2,3,2,314.72800,78.76000,2,0.96868
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1,0,4.07310,2,1,0,342.80100,32.67000,3,0.89921
Clc1ccccc1C1=NCc2nnc(C3CCCCC3)n2-c2sc(Br)cc21,0,6.14340,3,2,0,461.81600,43.07000,2,0.30826
C#Cc1ccc2c(c1)C(c1ccccc1F)=NC(C)c1c(C(=O)OCC)ncn1-2,2,4.08140,3,3,0,387.41400,56.48000,3,0.68036
O=C1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1,0,3.89200,2,1,1,349.61500,41.46000,1,0.87810
O=C1CN=C(c2ccccc2F)c2cc(F)ccc2N1,0,2.75430,2,1,1,272.25400,41.46000,1,0.91663
OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,0,2.99900,3,3,2,357.77200,70.64000,2,0.83989
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0,3.62720,2,1,0,270.76300,15.60000,1,0.87588
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2,2.40860,2,3,0,295.29800,75.81000,2,0.96539
NC(=O)c1ncn2c1CN=C(c1ccccc1Cl)c1cc(Cl)ccc1-2,0,3.62900,3,2,1,371.22700,73.27000,2,0.77067
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,0,3.27170,3,2,0,294.74500,43.07000,1,0.97466
Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,1,2.05830,2,2,2,251.28900,67.48000,1,0.82610
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,2,2.38430,2,3,1,281.27100,84.60000,2,0.91884
O=C([O-])C1N=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2NC1=O.[K+],4,-2.49320,2,5,1,363.37000,124.73000,3,0.67506
FC(F)c1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,0,3.19260,4,3,0,352.14200,48.53000,1,0.84804
Clc1ccc2c(c1)C(c1ccccc1Cl)=NCc1nncn1-2,0,3.92510,3,2,0,329.19000,43.07000,1,0.95000
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,3.71922,3,2,0,326.76200,43.07000,1,0.95687
O=C(OCC1CC1)c1ncn2c1C1CCN1C(=O)c1c(Cl)cccc1-2,1,2.99310,2,4,0,357.79700,64.43000,3,0.85005
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,0,3.26860,2,1,1,288.70900,41.46000,1,0.96933
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CCOCC1CC1,1,3.95060,2,2,0,368.86400,41.90000,6,0.78048
O=C1CN=C(c2ccccc2F)c2cc(Br)ccc2N1,0,3.37770,2,1,1,333.16000,41.46000,1,0.94416
CN1C(=O)CN=C(c2ccccc2F)c2ccccc21,0,2.63950,2,1,0,268.29100,32.67000,1,0.88755
